"Season","Name","playerid","Month","Team","IP","TBF","H","2B","3B","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","ERA","w OBA","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG1","WHIP","BABIP","LOB%","x FIP","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2014","Chris Sale","10603","Jul","CHW","31.2","119","22","5","0","3","3","0","3","0","2","38","0.1930","0.226890756","0.238938053","0.8526","0.210766632015966","10.8000","0.8526","12.6667","0.0000","0.3193","0.0252","0.2941","0.1930","0.7895","0.2895","0.8889","2.33781248697796","1.20593626188818","1.068965517","0.200000000","0.413333333","0.386666666","0.137931034","0.000000000","0.161290322","0.000000000","0.4474","0.2763","0.2763","0.1974","0.4868","0.3158"
"2014","Chris Sale","10603","Aug","CHW","39.0","164","33","8","1","17","12","5","12","1","4","56","0.2230","0.298780487","0.391891891","2.7692","0.306643536485777","12.9231","2.7692","4.6667","1.1538","0.3415","0.0732","0.2683","0.2230","1.1538","0.3218","0.7619","2.82225618117895","3.15789104788818","0.714285714","0.217391304","0.326086956","0.456521739","0.047619047","0.119047619","0.066666666","0.000000000","0.3804","0.3478","0.2717","0.1739","0.4891","0.3370"
"2014","Chris Sale","10603","Sept/Oct","CHW","25.0","101","20","3","0","7","7","2","8","1","1","30","0.2174","0.287128712","0.318681318","2.5200","0.270391939282417","10.8000","2.8800","3.7500","0.7200","0.2970","0.0792","0.2178","0.2174","1.1200","0.3000","0.8397","3.14708477020264","2.85225002288818","0.851851851","0.180327868","0.377049180","0.442622950","0.259259259","0.074074074","0.043478260","0.000000000","0.4355","0.2419","0.3226","0.1613","0.5968","0.2419"
"2015","Chris Sale","10603","Mar/Apr","CHW","22.0","95","27","5","0","14","13","2","5","0","1","20","0.3034","0.347368421","0.426966292","5.3182","0.338744880651173","8.1818","2.0455","4.0000","0.8182","0.2105","0.0526","0.1579","0.3034","1.4545","0.3731","0.6291","3.54281373193318","3.31603396507288","1.523809523","0.220588235","0.470588235","0.308823529","0.095238095","0.095238095","0.031250000","0.000000000","0.3913","0.4058","0.2029","0.2319","0.5942","0.1739"
"2015","Chris Sale","10603","May","CHW","37.0","143","23","3","2","12","11","4","9","0","1","46","0.1729","0.232394366","0.323076923","2.6757","0.242602713930775","11.1892","2.1892","5.1111","0.9730","0.3217","0.0629","0.2587","0.1729","0.8649","0.2289","0.7664","2.97409723119156","2.86394551407288","0.842105263","0.176470588","0.376470588","0.447058823","0.026315789","0.105263157","0.187500000","0.500000000","0.3103","0.3103","0.3793","0.1954","0.4943","0.3103"
"2015","Chris Sale","10603","Jun","CHW","44.1","170","28","8","0","10","9","2","8","0","1","75","0.1739","0.218934911","0.264150943","1.8271","0.21448790921262","15.2256","1.6241","9.3750","0.4060","0.4412","0.0471","0.3941","0.1739","0.8120","0.3095","0.7895","1.35835477707513","0.946244215072876","1.233333333","0.211764705","0.435294117","0.352941176","0.066666666","0.066666666","0.135135135","0.000000000","0.3953","0.4070","0.1977","0.2326","0.5930","0.1744"
"2015","Chris Sale","10603","Jul","CHW","34.1","146","42","7","0","16","16","4","3","0","3","36","0.3000","0.328767123","0.435714285","4.1942","0.332709110354724","9.4369","0.7864","12.0000","1.0485","0.2466","0.0205","0.2260","0.3000","1.3107","0.3800","0.7547","2.97976641102436","3.07596330107288","1.363636363","0.250000000","0.432692307","0.317307692","0.181818181","0.121212121","0.133333333","0.000000000","0.4615","0.3269","0.2115","0.2500","0.5096","0.2404"
"2015","Chris Sale","10603","Aug","CHW","33.2","135","20","3","1","12","12","3","10","0","4","52","0.1653","0.251851851","0.280991735","3.2079","0.242596507955481","13.9010","2.6733","5.2000","0.8020","0.3852","0.0741","0.3111","0.1653","0.8911","0.2576","0.7383","2.51992549536729","2.45104814407288","1.071428571","0.159420289","0.434782608","0.405797101","0.142857142","0.107142857","0.066666666","0.000000000","0.4058","0.3333","0.2609","0.2464","0.5652","0.1884"
"2015","Chris Sale","10603","Sept/Oct","CHW","37.1","165","45","6","0","24","18","8","7","0","3","45","0.2903","0.333333333","0.483870967","4.3393","0.353501871499148","10.8482","1.6875","6.4286","1.9286","0.2727","0.0424","0.2303","0.2903","1.3929","0.3627","0.7078","2.87099012175342","4.31278826407288","1.352941176","0.272727272","0.418181818","0.309090909","0.088235294","0.235294117","0.086956521","0.000000000","0.4000","0.3636","0.2364","0.1273","0.5091","0.3636"
"2016","Chris Sale","10603","Mar/Apr","CHW","38.0","138","21","3","0","8","7","3","5","0","1","32","0.1591","0.195652173","0.250000000","1.6579","0.19652982984764","7.5789","1.1842","6.4000","0.7105","0.2319","0.0362","0.1957","0.1591","0.6842","0.1856","0.8333","3.6892982150379","2.96234985684302","1.075000000","0.153061224","0.438775510","0.408163265","0.100000000","0.075000000","0.069767441","0.000000000","0.4400","0.3200","0.2400","0.2000","0.5200","0.2800"
